dataset,seed,model,aurc,brier,ece,risk@0.2,coverage@0.2,risk@0.4,coverage@0.4
ICEWS14,3,margin_only,0.568145961535623,0.16638975131601225,0.11578396530661894,0.4587251828631139,0.1914,0.5436844732900649,0.4006
ICEWS14,3,matched_base,0.5895779377179254,0.15621198917683415,0.03684899564697581,0.5102040816326531,0.1862,0.5685654008438819,0.3792
ICEWS14,3,base_plus_c,0.573812077795117,0.15090198867867524,0.021079984255278805,0.4547413793103448,0.1856,0.5449290593799264,0.3806
ICEWS14,3,base_plus_z,0.5514751210345721,0.14299769600065287,0.019456772056126125,0.41237113402061853,0.194,0.5363044566850276,0.3994
ICEWS14,3,base_plus_fd,0.5721514304245509,0.1506056130077379,0.017640235121160832,0.45521601685985247,0.1898,0.5427055702917772,0.377
ICEWS14,3,without_diversity,0.5535781787665098,0.14351078012876328,0.010635714657643982,0.40865892291446676,0.1894,0.5332991803278688,0.3904
ICEWS14,3,without_fragility,0.5502358960898247,0.1426312571827247,0.016018891921129402,0.40169133192389006,0.1892,0.5324283559577677,0.3978
ICEWS14,3,nonredundant,0.5521600013737983,0.14309481549351918,0.013656652123593403,0.4095634095634096,0.1924,0.5343358395989974,0.399
ICEWS14,3,full_original,0.5530356340647837,0.1433472727779375,0.013921151465390188,0.4254431699687174,0.1918,0.5338685398896137,0.3986
ICEWS14,3,base_plus_window_count,0.5770260313955008,0.1529719097003591,0.03875318184084394,0.498371335504886,0.1842,0.5478947368421052,0.38
ICEWS14,3,base_plus_softmax_entropy,0.5831633404355262,0.15464832732160586,0.029315299130348162,0.4931794333683106,0.1906,0.552,0.375
ICEWS14,4,margin_only,0.5681459352654048,0.16625886298121295,0.04464765247366444,0.4623762376237624,0.202,0.546310054482417,0.4038
ICEWS14,4,matched_base,0.5874982271759456,0.15581962996001048,0.042796242612740225,0.51010101010101,0.198,0.5630293971101146,0.4014
