dataset,seed,model,aurc,brier,ece,risk@0.2,coverage@0.2,risk@0.4,coverage@0.4
ICEWS05-15,2,matched_base,0.5005074892769035,0.18880729598150248,0.040774582043739974,0.4011173184357542,0.179,0.4869831546707504,0.3918
ICEWS05-15,2,base_plus_c,0.48410871376529757,0.18100055176734806,0.040715243683453195,0.35205183585313177,0.1852,0.45977011494252873,0.3828
ICEWS05-15,2,base_plus_z,0.4702062626913868,0.17352146357791495,0.011660099862259115,0.33404255319148934,0.188,0.4292527821939587,0.3774
ICEWS05-15,2,base_plus_fd,0.4803551137203902,0.1796144140873325,0.0338911581042459,0.34541577825159914,0.1876,0.456305599162742,0.3822
ICEWS05-15,2,without_diversity,0.47057669385090267,0.1737716113239921,0.011826233457205428,0.3361522198731501,0.1892,0.4382845188284519,0.3824
ICEWS05-15,2,without_fragility,0.46860221297792887,0.17288224892894938,0.01677432322726868,0.33443344334433445,0.1818,0.42317916002126527,0.3762
ICEWS05-15,2,nonredundant,0.4680815156593102,0.17278026737193072,0.013887310539786172,0.3128964059196617,0.1892,0.4242262540021345,0.3748
ICEWS05-15,2,full_original,0.4682234762264019,0.1728637648131086,0.015116082914344157,0.31473684210526315,0.19,0.42305630026809654,0.373
ICEWS05-15,2,base_plus_window_count,0.47304456852201077,0.17901226904478812,0.04577750026994028,0.3315276273022752,0.1846,0.4547830632514375,0.3826
ICEWS05-15,2,base_plus_softmax_entropy,0.4927856710990056,0.18588297657181374,0.03606921069030544,0.3815489749430524,0.1756,0.4774494556765163,0.3858
ICEWS05-15,3,margin_only,0.4959627646130079,0.19914974177651742,0.08912404947173322,0.3843612334801762,0.1816,0.45066518847006654,0.3608
ICEWS05-15,3,matched_base,0.5024754197542457,0.18878815818264622,0.03708627991355839,0.4043478260869565,0.184,0.4830917874396135,0.3726
ICEWS05-15,3,base_plus_c,0.485376922049085,0.1807584076969293,0.03227447832625608,0.3564356435643564,0.1818,0.45666305525460454,0.3692
ICEWS05-15,3,base_plus_z,0.4699881322920519,0.17304668231198578,0.014378734387060619,0.3402173913043478,0.184,0.42773333333333335,0.375
ICEWS05-15,3,base_plus_fd,0.48156019134225453,0.17950886650678397,0.03405804443116143,0.35294117647058826,0.1836,0.45197438633938103,0.3748
ICEWS05-15,3,without_diversity,0.4700599189479934,0.17309517750940895,0.016768959095121078,0.3463251670378619,0.1796,0.4293390650188071,0.3722
ICEWS05-15,3,without_fragility,0.4684616047048377,0.17239028049433125,0.014271781140674452,0.3322615219721329,0.1866,0.4245840042941492,0.3726
ICEWS05-15,3,nonredundant,0.4680526529596507,0.1721565786315083,0.014669141259956562,0.313915857605178,0.1854,0.4237379162191192,0.3724
ICEWS05-15,3,full_original,0.4681793438958726,0.1722057113463371,0.014757873590192053,0.3159574468085106,0.188,0.42435622317596566,0.3728
ICEWS05-15,3,base_plus_window_count,0.47252561527352266,0.17841503238628684,0.03988267690725638,0.3333333333333333,0.18,0.4550292708887706,0.3758
ICEWS05-15,3,base_plus_softmax_entropy,0.4947973842916356,0.186099911169965,0.032869909527170185,0.38181818181818183,0.176,0.47748236570808467,0.3686
ICEWS05-15,4,margin_only,0.49596409964149113,0.19893169245047956,0.052485677345453674,0.38203463203463206,0.1848,0.46542827657378744,0.3876
ICEWS05-15,4,matched_base,0.49951655631707154,0.18914505342088928,0.048236593515348994,0.40198237885462557,0.1816,0.4850329781836631,0.3942
ICEWS05-15,4,base_plus_c,0.48336077343233574,0.18116865338767335,0.03082600732705396,0.3553459119496855,0.1908,0.46228338430173294,0.3924
ICEWS05-15,4,base_plus_z,0.4701047831896014,0.17372336455245926,0.019348778982651332,0.33084311632870866,0.1874,0.43447220805711373,0.3922
