dataset,kind,batch,repeat,n_keys,events,max_abs_error,discrete_mismatches,process_rss_mb,incremental_elapsed_ms,incremental_write_lookup_ms,incremental_refresh_ms,incremental_refreshed,incremental_affected,full_elapsed_ms,full_write_lookup_ms,full_refresh_ms,full_refreshed,full_affected
ICEWS14,delete,10,6,21667,83856,1.1102230246251565e-16,0,169.28515625,0.1836,0.0419,0.1417,10,10,132.7106,0.0388,132.6718,21667,10
ICEWS14,delete,10,7,21667,83846,1.1102230246251565e-16,0,169.34375,0.3116,0.0729,0.2387,10,10,134.7507,0.0592,134.6915,21667,10
ICEWS14,delete,10,8,21667,83836,1.1102230246251565e-16,0,169.34375,0.2105,0.0428,0.1677,10,10,140.7992,0.0361,140.7631,21667,10
ICEWS14,delete,10,9,21667,83826,1.1102230246251565e-16,0,169.34375,0.2928,0.0627,0.2301,10,10,137.1918,0.0562,137.1356,21667,10
ICEWS14,delete,100,0,21667,83726,1.1102230246251565e-16,0,169.40625,1.8259,0.5767,1.2492,99,99,188.6608,0.3385,188.3223,21667,99
ICEWS14,delete,100,1,21667,83626,1.1102230246251565e-16,0,169.421875,1.4163,0.3717,1.0446,97,97,138.1626,0.453,137.7096,21667,97
ICEWS14,delete,100,2,21667,83526,1.1102230246251565e-16,0,169.4765625,1.3501,0.2764,1.0737,93,93,144.3689,0.3874,143.9815,21667,93
ICEWS14,delete,100,3,21667,83426,1.1102230246251565e-16,0,169.69921875,1.1865,0.3532,0.8333,100,100,136.1191,0.3161,135.803,21667,100
ICEWS14,delete,100,4,21667,83326,1.1102230246251565e-16,0,169.69921875,1.8244,0.2713,1.5531,95,95,141.3506,0.3905,140.9601,21667,95
ICEWS14,delete,100,5,21667,83226,1.1102230246251565e-16,0,169.51171875,1.2653,0.3545,0.9108,98,98,129.7649,0.325,129.4399,21667,98
ICEWS14,delete,100,6,21667,83126,1.1102230246251565e-16,0,169.69140625,1.2086,0.2883,0.9203,99,99,174.9563,0.2979,174.6584,21667,99
ICEWS14,delete,100,7,21667,83026,1.1102230246251565e-16,0,169.51171875,1.7305,0.4197,1.3108,94,94,126.9514,0.3198,126.6316,21667,94
ICEWS14,delete,100,8,21667,82926,1.1102230246251565e-16,0,169.69140625,1.2282,0.2876,0.9406,100,100,131.9675,0.3319,131.6356,21667,100
ICEWS14,delete,100,9,21667,82826,1.1102230246251565e-16,0,168.82421875,1.4017,0.4348,0.9669,97,97,134.3167,0.3638,133.9529,21667,97
ICEWS14,delete,1000,0,21667,81826,1.1102230246251565e-16,0,169.81640625,9.6793,3.4777,6.2016,859,859,134.2155,2.6545,131.561,21667,859
ICEWS14,delete,1000,1,21667,80826,1.1102230246251565e-16,0,169.79296875,10.4404,3.7125,6.7279,848,848,136.7765,3.0173,133.7592,21667,848
ICEWS14,delete,1000,2,21667,79826,1.1102230246251565e-16,0,169.828125,9.7377,3.1721,6.5656,842,842,130.4973,2.8227,127.6746,21667,842
ICEWS14,delete,1000,3,21667,78826,1.1102230246251565e-16,0,169.90625,10.2036,3.2893,6.9143,855,855,181.4019,3.2532,178.1487,21667,855
ICEWS14,delete,1000,4,21667,77826,1.1102230246251565e-16,0,169.39453125,8.9565,2.6831,6.2734,850,850,136.722,3.4198,133.3022,21667,850
