dataset,kind,batch,repeat,n_keys,events,max_abs_error,discrete_mismatches,process_rss_mb,incremental_elapsed_ms,incremental_write_lookup_ms,incremental_refresh_ms,incremental_refreshed,incremental_affected,full_elapsed_ms,full_write_lookup_ms,full_refresh_ms,full_refreshed,full_affected
ICEWS05-15,delete,10,3,51292,380022,1.1102230246251565e-16,0,416.97265625,0.3812,0.0772,0.304,10,10,440.5023,0.058,440.4443,51292,10
ICEWS05-15,delete,10,4,51292,380012,1.1102230246251565e-16,0,416.63671875,0.5123,0.1082,0.4041,10,10,325.8282,0.1027,325.7255,51292,10
ICEWS05-15,delete,10,5,51292,380002,1.1102230246251565e-16,0,416.58203125,0.8248,0.289,0.5358,10,10,329.9347,0.0874,329.8473,51292,10
ICEWS05-15,delete,10,6,51292,379992,1.1102230246251565e-16,0,416.2421875,0.3572,0.07,0.2872,10,10,334.5225,0.0707,334.4518,51292,10
ICEWS05-15,delete,10,7,51292,379982,1.1102230246251565e-16,0,416.1875,0.4001,0.0845,0.3156,10,10,336.1119,0.0563,336.0556,51292,10
ICEWS05-15,delete,10,8,51292,379972,1.1102230246251565e-16,0,416.2421875,0.4172,0.0917,0.3255,10,10,327.6102,0.089,327.5212,51292,10
ICEWS05-15,delete,10,9,51292,379962,1.1102230246251565e-16,0,416.1875,0.5762,0.0979,0.4783,10,10,325.0381,0.0758,324.9623,51292,10
ICEWS05-15,delete,100,0,51292,379862,1.1102230246251565e-16,0,416.27734375,2.5984,0.5037,2.0947,95,95,450.3154,0.5708,449.7446,51292,95
ICEWS05-15,delete,100,1,51292,379762,1.1102230246251565e-16,0,416.24609375,3.1934,0.7275,2.4659,96,96,330.4807,0.5914,329.8893,51292,96
ICEWS05-15,delete,100,2,51292,379662,1.1102230246251565e-16,0,416.48828125,3.199,0.527,2.672,99,99,336.4576,0.5497,335.9079,51292,99
ICEWS05-15,delete,100,3,51292,379562,1.1102230246251565e-16,0,416.30859375,3.6516,0.667,2.9846,94,94,337.0792,0.586,336.4932,51292,94
ICEWS05-15,delete,100,4,51292,379462,1.1102230246251565e-16,0,416.46484375,2.7389,0.5877,2.1512,95,95,333.5538,0.679,332.8748,51292,95
ICEWS05-15,delete,100,5,51292,379362,1.1102230246251565e-16,0,416.49609375,2.2464,0.5256,1.7208,97,97,330.3956,0.4299,329.9657,51292,97
ICEWS05-15,delete,100,6,51292,379262,1.1102230246251565e-16,0,416.8203125,2.3905,0.4196,1.9709,98,98,444.1145,0.5199,443.5946,51292,98
ICEWS05-15,delete,100,7,51292,379162,1.1102230246251565e-16,0,416.90625,2.5536,0.5927,1.9609,97,97,335.448,0.5107,334.9373,51292,97
ICEWS05-15,delete,100,8,51292,379062,1.1102230246251565e-16,0,416.51171875,2.0855,0.3529,1.7326,97,97,334.0572,0.5748,333.4824,51292,97
ICEWS05-15,delete,100,9,51292,378962,1.1102230246251565e-16,0,416.640625,2.8896,0.6933,2.1963,96,96,333.0516,0.5929,332.4587,51292,96
ICEWS05-15,delete,1000,0,51292,377962,1.1102230246251565e-16,0,416.28125,19.287,5.2131,14.0739,792,792,338.9968,5.7273,333.2695,51292,792
ICEWS05-15,delete,1000,1,51292,376962,1.1102230246251565e-16,0,417.28125,128.7525,5.4448,123.3077,811,811,339.2231,5.2828,333.9403,51292,811
ICEWS05-15,delete,1000,2,51292,375962,5.551115123125783e-17,0,417.10546875,20.3879,4.4196,15.9683,792,792,329.6051,6.1149,323.4902,51292,792
ICEWS05-15,delete,1000,3,51292,374962,5.551115123125783e-17,0,416.93359375,19.0496,5.8186,13.231,804,804,335.4752,5.5745,329.9007,51292,804
ICEWS05-15,delete,1000,4,51292,373962,5.551115123125783e-17,0,417.6640625,19.7682,5.7005,14.0677,795,795,335.4129,6.3079,329.105,51292,795
ICEWS05-15,delete,1000,5,51292,372962,4.163336342344337e-17,0,416.703125,21.2074,7.1983,14.0091,786,786,335.6792,6.2062,329.473,51292,786
ICEWS05-15,delete,1000,6,51292,371962,4.163336342344337e-17,0,417.7265625,18.9775,5.3952,13.5823,789,789,350.4473,6.3653,344.082,51292,789
ICEWS05-15,delete,1000,7,51292,370962,4.163336342344337e-17,0,416.8359375,18.8781,5.7739,13.1042,807,807,460.5428,6.4683,454.0745,51292,807
ICEWS05-15,delete,1000,8,51292,369962,4.163336342344337e-17,0,416.84375,17.7993,4.7114,13.0879,820,820,337.1043,5.3274,331.7769,51292,820
ICEWS05-15,delete,1000,9,51292,368962,4.163336342344337e-17,0,416.7578125,18.8187,5.8317,12.987,807,807,343.6518,5.2956,338.3562,51292,807
ICEWS05-15,counter,1,0,51292,368963,4.163336342344337e-17,0,417.12109375,0.0977,0.0112,0.0865,1,1,333.5444,0.0061,333.5383,51292,1
ICEWS05-15,counter,1,1,51292,368964,4.163336342344337e-17,0,417.37109375,0.2688,0.02,0.2488,1,1,336.3005,0.017,336.2835,51292,1
ICEWS05-15,counter,1,2,51292,368965,4.163336342344337e-17,0,416.94140625,0.1103,0.0151,0.0952,1,1,337.8764,0.0066,337.8698,51292,1
ICEWS05-15,counter,1,3,51292,368966,4.163336342344337e-17,0,417.2421875,0.1698,0.0228,0.147,1,1,445.1343,0.0163,445.118,51292,1
ICEWS05-15,counter,1,4,51292,368967,4.163336342344337e-17,0,416.984375,0.0966,0.0144,0.0822,1,1,337.8788,0.006,337.8728,51292,1
ICEWS05-15,counter,1,5,51292,368968,4.163336342344337e-17,0,416.9609375,0.1519,0.0224,0.1295,1,1,334.3589,0.016,334.3429,51292,1
ICEWS05-15,counter,1,6,51292,368969,4.163336342344337e-17,0,417.2421875,0.1137,0.0172,0.0965,1,1,328.2515,0.0065,328.245,51292,1
ICEWS05-15,counter,1,7,51292,368970,4.163336342344337e-17,0,416.99609375,0.1482,0.0225,0.1257,1,1,337.7183,0.0161,337.7022,51292,1
ICEWS05-15,counter,1,8,51292,368971,1.1102230246251565e-16,0,416.98046875,0.1149,0.0155,0.0994,1,1,333.0921,0.0065,333.0856,51292,1
ICEWS05-15,counter,1,9,51292,368972,1.1102230246251565e-16,0,416.859375,0.1463,0.0207,0.1256,1,1,333.9151,0.0166,333.8985,51292,1
