seed,static_risk,static_coverage,static_brier,static_ece,static_aurc,static_work,global_decay_risk,global_decay_coverage,global_decay_brier,global_decay_ece,global_decay_aurc,global_decay_work,stability_aware_risk,stability_aware_coverage,stability_aware_brier,stability_aware_ece,stability_aware_aurc,stability_aware_work
10.0,0.1735210486512114,0.9350617283950616,0.1796401073693095,0.18550561092482087,0.1114453058130132,220.0,0.10640648248903949,0.9069135802469137,0.11657791841504633,0.1238764248278707,0.06106282744550424,220.0,0.008333333333333333,0.0245679012345679,0.094325277784088,0.1027928018166373,0.05400648652724575,5.433333333333334
11.0,0.1680817110509649,0.941851851851852,0.17237520026488695,0.17820423482996905,0.10333813057358478,220.0,0.11111744275792675,0.90320987654321,0.11928923011434824,0.12810253872845997,0.06010852716900702,220.0,0.04074074074074074,0.019506172839506168,0.10183945923733516,0.11543222012875592,0.04937733888311901,5.777777777777778
12.0,0.19789166319240342,0.9254320987654323,0.20356906952986162,0.2083787622776362,0.1340093000969713,220.0,0.12342282031961091,0.8940740740740742,0.13485634802360846,0.143819660252966,0.06564863315039897,220.0,0.030555555555555555,0.018518518518518517,0.10745822541279891,0.11953550012403309,0.05273981737901513,6.166666666666667
13.0,0.2047380430597612,0.9306172839506174,0.20630989017618803,0.21636457046275023,0.11646848491203184,220.0,0.12294905180188918,0.8967901234567902,0.13021781062309315,0.14318429998799143,0.06675769617568458,220.0,0.028346560846560846,0.021604938271604937,0.10691620580051345,0.12077328097366911,0.05676597079078928,6.366666666666666
14.0,0.19254903046392557,0.9290123456790124,0.1981732609361544,0.20507667665242174,0.10119026674217513,220.0,0.10983370832800905,0.894814814814815,0.1202621762538405,0.13101616629420895,0.04896782902539287,220.0,0.03981481481481481,0.012839506172839505,0.09949327405382574,0.11048598298295449,0.04447810157856029,5.2444444444444445
15.0,0.15361109775372045,0.9403703703703706,0.15772856563053023,0.1621138661470283,0.08102865863322149,220.0,0.10089614732469201,0.9074074074074074,0.10916827800624113,0.11514445378978443,0.04252440119756718,220.0,0.001388888888888889,0.017901234567901235,0.08839356251195457,0.0986746171905497,0.0371533597019349,5.522222222222222
16.0,0.1836847569174723,0.930246913580247,0.1862480238572218,0.1926531939964601,0.10102280851219098,220.0,0.11471350805690818,0.903703703703704,0.12089623353736925,0.1269836346916848,0.056805038157606874,220.0,0.024074074074074074,0.014074074074074074,0.10391533945920155,0.11173350783288674,0.04983595541973917,5.366666666666666
17.0,0.14903452444516993,0.935925925925926,0.15622657038637763,0.16009813740199436,0.08815500248546818,220.0,0.09395456754772202,0.9130864197530866,0.10253235489049363,0.10852001791032717,0.0427963216793739,220.0,0.026031746031746027,0.01654320987654321,0.08218891391556096,0.0901790376567207,0.03545829445068291,5.122222222222222
18.0,0.16589105579071392,0.9379012345679014,0.17409520665170913,0.18096749256076963,0.09741522318152714,220.0,0.09423565375304956,0.9056790123456789,0.10694283832430733,0.11753556931902602,0.04746084947130262,220.0,0.029166666666666667,0.018148148148148146,0.08602449360052358,0.10177276765164377,0.039973627209400946,5.933333333333334
19.0,0.1698955643206415,0.9361728395061727,0.17548415944382326,0.18166725321096144,0.09906457481986444,220.0,0.10401804899915601,0.9064197530864198,0.11372522380009185,0.12134308254372354,0.0565338630761409,220.0,0.030925925925925926,0.023827160493827156,0.09907692686040014,0.1077147643427081,0.04984169279470721,5.833333333333333
