dataset,batch,repeat,kind,max_abs_error,full_elapsed_ms,full_write_ms,full_refresh_ms,full_affected,full_refreshed,incremental_elapsed_ms,incremental_write_ms,incremental_refresh_ms,incremental_affected,incremental_refreshed
ICEWS05-15,1,4,delete,0.0,2831.1422999977367,0.0020000006770715,2831.14029999706,0,5000,0.0044999906094744,0.0034999975468963,0.0009999930625781,0,0
ICEWS05-15,1,4,restore,0.0,2830.710900001577,0.0027999922167509,2830.7081000093604,0,5000,0.0064999912865459,0.0053999974625185,0.0010999938240274,0,0
ICEWS05-15,1,5,delete,0.0,2745.2704000024823,0.11629999789875,2745.154100004584,1,5000,0.7462000066880137,0.1775999990059062,0.5686000076821074,1,1
ICEWS05-15,1,5,restore,0.0,2867.2970999905374,0.149200001033023,2867.1478999895044,1,5000,0.3524000057950616,0.1037000038195401,0.2487000019755214,1,1
ICEWS05-15,1,6,delete,0.0,2632.113700004993,0.2317000034963712,2631.8820000014966,3,5000,1.2245999969309196,0.2403999969828874,0.9841999999480322,3,3
ICEWS05-15,1,6,restore,0.0,2891.820699995151,0.3882000019075349,2891.4324999932437,3,5000,1.8825000006472687,0.4375999997137114,1.4449000009335575,3,3
ICEWS05-15,1,7,delete,0.0,3248.351600006572,0.1762000028975308,3248.1754000036744,1,5000,0.875899990205653,0.0878999999258667,0.7879999902797863,1,1
ICEWS05-15,1,7,restore,0.0,3214.5946999953594,0.1829999964684248,3214.411699998891,1,5000,0.7043999939924106,0.1033999869832769,0.6010000070091337,1,1
ICEWS05-15,1,8,delete,0.0,2795.3195000009146,0.0016000121831893,2795.317899988732,0,5000,0.0052999967010691,0.0037999998312443,0.0014999968698248,0,0
ICEWS05-15,1,8,restore,0.0,2882.4108999979217,0.0014999968698248,2882.409400001052,0,5000,0.0060000020312145,0.0045000051613897,0.0014999968698248,0,0
ICEWS05-15,1,9,delete,0.0,2685.017299998435,0.1771999959601089,2684.840100002475,3,5000,1.4462999970419332,0.1761000021360814,1.2701999949058518,3,3
ICEWS05-15,1,9,restore,0.0,2592.658200010192,0.1588000013725832,2592.499400008819,3,5000,1.38159999914933,0.1674999948590994,1.2141000042902306,3,3
ICEWS05-15,10,0,delete,0.0,3195.627599998261,6.391799994162284,3189.2358000040986,18,5000,13.735699991229922,2.683099999558181,11.05259999167174,18,18
ICEWS05-15,10,0,restore,0.0,3467.00280001096,5.328100000042468,3461.674700010917,18,5000,25.11239999148529,3.460399995674379,21.65199999581091,18,18
ICEWS05-15,10,1,delete,0.0,3189.950800006045,2.50170000072103,3187.449100005324,11,5000,12.521199998445809,3.0445000011241063,9.476699997321704,11,11
ICEWS05-15,10,1,restore,0.0,3250.418600000557,2.6288999943062663,3247.789700006251,11,5000,13.122599993948825,2.4720999936107546,10.65050000033807,11,11
ICEWS05-15,10,2,delete,0.0,3042.462700002943,0.6614000012632459,3041.80130000168,5,5000,7.0214000006672,1.5402999997604638,5.481100000906736,5,5
ICEWS05-15,10,2,restore,0.0,2913.8957999966806,0.7507999980589375,2913.1449999986216,5,5000,3.359399997862056,0.6710000016028062,2.6883999962592497,5,5
ICEWS05-15,10,3,delete,0.0,2986.100699999952,0.7224000000860542,2985.3782999998657,7,5000,3.925599987269379,0.6403999868780375,3.2852000003913417,7,7
ICEWS05-15,10,3,restore,0.0,3224.985699998797,0.7624999998370185,3224.22319999896,7,5000,3.119100001640618,0.7161000103224069,2.402999991318211,7,7
ICEWS05-15,10,4,delete,0.0,2843.2613000040874,5.800800005090423,2837.460499998997,17,5000,42.86310001043603,6.542200004332699,36.32090000610333,17,17
ICEWS05-15,10,4,restore,0.0,2767.532599988044,7.244399996125139,2760.288199991919,17,5000,35.66740000678692,7.847200002288446,27.820200004498474,17,17
ICEWS05-15,10,5,delete,0.0,3040.692300011869,80.03360001021065,2960.658700001659,50,5000,488.93810001027305,86.07630000915378,402.86180000111926,50,50
ICEWS05-15,10,5,restore,0.0,3048.674200006644,70.62410000071395,2978.0501000059303,50,5000,478.70560000592377,69.36399999540299,409.3416000105208,50,50
ICEWS05-15,10,6,delete,0.0,2977.703600001405,72.37249999889173,2905.3311000025133,40,5000,419.4264999969164,51.55509999895003,367.8713999979664,40,40
ICEWS05-15,10,6,restore,0.0,2947.4297999986447,57.5436999934027,2889.886100005242,40,5000,408.5939999931725,65.35429999348707,343.2396999996854,40,40
ICEWS05-15,10,7,delete,0.0,2851.2045000097714,5.371799998101778,2845.8327000116697,36,5000,49.15720000280999,10.103099994012156,39.05410000879783,36,36
ICEWS05-15,10,7,restore,0.0,2682.2914000076707,8.769599997322075,2673.5218000103487,36,5000,46.09160000109114,7.988999990629964,38.10260001046117,36,36
ICEWS05-15,10,8,delete,0.0,2772.55179999338,3.226799992262386,2769.3250000011176,23,5000,20.11369999672752,5.100099995615892,15.013600001111628,23,23
ICEWS05-15,10,8,restore,0.0,2917.0595000032336,5.593200010480359,2911.466299992753,23,5000,16.38650000677444,2.820399997290224,13.566100009484217,23,23
ICEWS05-15,10,9,delete,0.0,3047.794199999771,14.873000007355586,3032.9211999924155,38,5000,50.1897999929497,13.98709999921266,36.20269999373704,38,38
ICEWS05-15,10,9,restore,0.0,2980.449700000463,9.337600000435486,2971.112100000028,38,5000,60.80219999421388,11.784200003603472,49.017999990610406,38,38
ICEWS05-15,100,0,delete,0.0,3195.392099994933,129.20440000016242,3066.187699994771,197,5000,717.7687000075821,130.3191000042716,587.4496000033105,197,197
