dataset,seed,model,aurc,brier,ece,risk@0.2,coverage@0.2,risk@0.4,coverage@0.4
GDELT,2,base_plus_softmax_entropy,0.7697571908117248,0.11357232101517761,0.016660543982595675,0.7116682738669238,0.2074,0.762962962962963,0.405
GDELT,3,margin_only,0.793209829627816,0.11704741038048365,0.01084083422409296,0.7641408751334045,0.1874,0.7968363816114681,0.4046
GDELT,3,matched_base,0.7682654493296347,0.11311175674182698,0.02643935776758183,0.7040923399790137,0.1906,0.7557673019057172,0.3988
GDELT,3,base_plus_c,0.7687654862944887,0.11303633886118254,0.022779135675713724,0.7053941908713693,0.1928,0.7564356435643564,0.404
GDELT,3,base_plus_z,0.76388341732665,0.11200593467586516,0.01938258988557152,0.70042194092827,0.1896,0.7603960396039604,0.404
GDELT,3,base_plus_fd,0.7671458070035938,0.1127535906481772,0.021229499542558403,0.6973947895791583,0.1996,0.7646464646464647,0.396
GDELT,3,without_diversity,0.7637999408108577,0.1119983793974573,0.016055185337779852,0.7058823529411765,0.1938,0.7646479566715904,0.4062
GDELT,3,without_fragility,0.7622944109520108,0.11181691252687642,0.019378007286169643,0.6993736951983298,0.1916,0.7633816908454227,0.3998
GDELT,3,nonredundant,0.7623123743640088,0.11182270265261629,0.020026829150968716,0.6978193146417445,0.1926,0.7635270541082164,0.3992
GDELT,3,full_original,0.7621170366030443,0.11179494123576901,0.01959117500263029,0.6990692864529473,0.1934,0.7632898696088265,0.3988
GDELT,3,base_plus_window_count,0.7678728927614068,0.11305943508557077,0.025154959728660147,0.7067357512953368,0.193,0.7572427572427572,0.4004
GDELT,3,base_plus_softmax_entropy,0.7676570587530128,0.11304885236817415,0.02781639276861043,0.7058823529411765,0.1938,0.7588440458395616,0.4014
GDELT,4,margin_only,0.793209829627816,0.11698827852313716,0.006845306402812515,0.7642105263157895,0.19,0.7952047952047953,0.4004
GDELT,4,matched_base,0.7694401394936746,0.1134798018732605,0.008701774778622533,0.7060637204522097,0.1946,0.7603266090297791,0.4164
GDELT,4,base_plus_c,0.7694840701686302,0.11348382669871897,0.008372675177660258,0.7040082219938335,0.1946,0.7603068072866731,0.4172
GDELT,4,base_plus_z,0.7662086640539696,0.11282111923828483,0.015591075951655623,0.7006237006237006,0.1924,0.7630946660259491,0.4162
GDELT,4,base_plus_fd,0.7681806558215091,0.11333294256988485,0.012255643446335623,0.7035573122529645,0.2024,0.7611650485436893,0.412
GDELT,4,without_diversity,0.7662007417355263,0.11282059624909262,0.015583328812523507,0.7005181347150259,0.193,0.7628667628667629,0.4158
GDELT,4,without_fragility,0.7653503932957496,0.11271527841071328,0.018188289215267085,0.6990788126919141,0.1954,0.7628420547287565,0.4166
GDELT,4,nonredundant,0.7651785658098266,0.11268117908024938,0.01798313298213015,0.6937697993664202,0.1894,0.7619507484307098,0.4142
GDELT,4,full_original,0.7649542939759005,0.11265079272291814,0.01766824941612608,0.6938349007314525,0.1914,0.7623906705539358,0.4116
GDELT,4,base_plus_window_count,0.76910768575923,0.1134418921014333,0.009809375686497172,0.7097107438016529,0.1936,0.760827718960539,0.4156
GDELT,4,base_plus_softmax_entropy,0.7686033890790063,0.11352468083371905,0.008279683179634487,0.7058823529411765,0.1972,0.7613746369796709,0.4132
