dataset,seed,model,aurc,brier,ece,risk@0.2,coverage@0.2,risk@0.4,coverage@0.4
ICEWS05-15,2,matched_base,0.5005074892769035,0.18880729598150248,0.040774582043739974,0.4011173184357542,0.179,0.4869831546707504,0.3918
ICEWS05-15,2,base_plus_c,0.48173599784433063,0.17959021677029396,0.04305468259304483,0.3501070663811563,0.1868,0.45690111052353255,0.3782
ICEWS05-15,2,base_plus_z,0.4702062626913868,0.17352146357791495,0.011660099862259115,0.33404255319148934,0.188,0.4292527821939587,0.3774
ICEWS05-15,2,base_plus_fd,0.4777571115593473,0.17786877090339157,0.03335388768311921,0.33865814696485624,0.1878,0.4522058823529412,0.3808
ICEWS05-15,2,without_diversity,0.46993490347272093,0.1734267346055674,0.016461832177878465,0.34120171673819744,0.1864,0.4317226890756303,0.3808
ICEWS05-15,2,without_fragility,0.46860221297792887,0.17288224892894938,0.01677432322726868,0.33443344334433445,0.1818,0.42317916002126527,0.3762
ICEWS05-15,2,nonredundant,0.46671808980852375,0.17205838494322495,0.018922984697666036,0.3146186440677966,0.1888,0.41933760683760685,0.3744
ICEWS05-15,2,full_original,0.46678961561402366,0.1720856099042176,0.01891395176359442,0.31446540880503143,0.1908,0.421474358974359,0.3744
ICEWS05-15,2,base_plus_window_count,0.47304456852201077,0.17901226904478812,0.04577750026994028,0.3315276273022752,0.1846,0.4547830632514375,0.3826
ICEWS05-15,2,base_plus_softmax_entropy,0.4927856710990056,0.18588297657181374,0.03606921069030544,0.3815489749430524,0.1756,0.4774494556765163,0.3858
ICEWS05-15,3,margin_only,0.4959627646130079,0.19914974177651742,0.08912404947173322,0.3843612334801762,0.1816,0.45066518847006654,0.3608
ICEWS05-15,3,matched_base,0.5024754197542457,0.18878815818264622,0.03708627991355839,0.4043478260869565,0.184,0.4830917874396135,0.3726
ICEWS05-15,3,base_plus_c,0.4823969767381982,0.17925155176319868,0.03388648686749362,0.34983498349834985,0.1818,0.45493562231759654,0.3728
ICEWS05-15,3,base_plus_z,0.4699881322920519,0.17304668231198578,0.014378734387060619,0.3402173913043478,0.184,0.42773333333333335,0.375
ICEWS05-15,3,base_plus_fd,0.47818509586763214,0.17753721299304764,0.0290680249520648,0.340683572216097,0.1814,0.4424403183023873,0.377
ICEWS05-15,3,without_diversity,0.46953819557421367,0.17287458133943864,0.017254277636477102,0.34285714285714286,0.182,0.42704436130411544,0.3742
ICEWS05-15,3,without_fragility,0.4684616047048377,0.17239028049433125,0.014271781140674452,0.3322615219721329,0.1866,0.4245840042941492,0.3726
ICEWS05-15,3,nonredundant,0.4666940626249024,0.1715266347067539,0.0162785539310967,0.31023454157782515,0.1876,0.4213903743315508,0.374
ICEWS05-15,3,full_original,0.46675113297885445,0.1715599167965433,0.01804513311760824,0.31851851851851853,0.189,0.4209390178089584,0.3706
ICEWS05-15,3,base_plus_window_count,0.47252561527352266,0.17841503238628684,0.03988267690725638,0.3333333333333333,0.18,0.4550292708887706,0.3758
ICEWS05-15,3,base_plus_softmax_entropy,0.4947973842916356,0.186099911169965,0.032869909527170185,0.38181818181818183,0.176,0.47748236570808467,0.3686
ICEWS05-15,4,margin_only,0.49596409964149113,0.19893169245047956,0.052485677345453674,0.38203463203463206,0.1848,0.46542827657378744,0.3876
ICEWS05-15,4,matched_base,0.49951655631707154,0.18914505342088928,0.048236593515348994,0.40198237885462557,0.1816,0.4850329781836631,0.3942
ICEWS05-15,4,base_plus_c,0.4807011703847324,0.17984525855730601,0.031943211121264,0.35177453027139877,0.1916,0.46059365404298874,0.3908
ICEWS05-15,4,base_plus_z,0.4701047831896014,0.17372336455245926,0.019348778982651332,0.33084311632870866,0.1874,0.43447220805711373,0.3922
ICEWS05-15,4,base_plus_fd,0.4766588490720626,0.1780829473285244,0.03871139855853703,0.3450777202072539,0.193,0.44467532467532467,0.385
ICEWS05-15,4,without_diversity,0.4697197472834621,0.17361314500828562,0.019775439931505108,0.3282442748091603,0.1834,0.4379450661241099,0.3932
ICEWS05-15,4,without_fragility,0.46775706934618294,0.17303134729181469,0.02320706874613776,0.3116883116883117,0.1848,0.426246719160105,0.381
ICEWS05-15,4,nonredundant,0.4670871348137478,0.1723368655723023,0.019907836822769608,0.3169164882226981,0.1868,0.42775467775467774,0.3848
