dataset,seed,model,aurc,brier,ece,risk@0.2,coverage@0.2,risk@0.4,coverage@0.4
ICEWS14,3,margin_only,0.568145961535623,0.16638975131601225,0.11578396530661894,0.4587251828631139,0.1914,0.5436844732900649,0.4006
ICEWS14,3,matched_base,0.5895779377179254,0.15621198917683415,0.03684899564697581,0.5102040816326531,0.1862,0.5685654008438819,0.3792
ICEWS14,3,base_plus_c,0.5679506883665683,0.14869732941669947,0.021566113055014803,0.44714587737843553,0.1892,0.5417972831765935,0.3828
ICEWS14,3,base_plus_z,0.5514751210345721,0.14299769600065287,0.019456772056126125,0.41237113402061853,0.194,0.5363044566850276,0.3994
ICEWS14,3,base_plus_fd,0.5654180976033598,0.14811823726006218,0.01935042476722293,0.44306418219461696,0.1932,0.5377800937988536,0.3838
ICEWS14,3,without_diversity,0.5511439131601606,0.1429140889992234,0.020118119005767075,0.40667361835245047,0.1918,0.5324476239141543,0.3914
ICEWS14,3,without_fragility,0.5502358960898247,0.1426312571827247,0.016018891921129402,0.40169133192389006,0.1892,0.5324283559577677,0.3978
ICEWS14,3,nonredundant,0.5493372591529767,0.14219280588819905,0.01713684251858893,0.4114583333333333,0.192,0.5327991987981973,0.3994
ICEWS14,3,full_original,0.5497545592601014,0.14231874713591766,0.014104191835572657,0.4212121212121212,0.198,0.533702213279678,0.3976
ICEWS14,3,base_plus_window_count,0.5770260313955008,0.1529719097003591,0.03875318184084394,0.498371335504886,0.1842,0.5478947368421052,0.38
ICEWS14,3,base_plus_softmax_entropy,0.5831633404355262,0.15464832732160586,0.029315299130348162,0.4931794333683106,0.1906,0.552,0.375
ICEWS14,4,margin_only,0.5681459352654048,0.16625886298121295,0.04464765247366444,0.4623762376237624,0.202,0.546310054482417,0.4038
ICEWS14,4,matched_base,0.5874982271759456,0.15581962996001048,0.042796242612740225,0.51010101010101,0.198,0.5630293971101146,0.4014
ICEWS14,4,base_plus_c,0.5652852910309213,0.14841782722332622,0.02229528936788397,0.451417004048583,0.1976,0.5370462456489309,0.4022
ICEWS14,4,base_plus_z,0.5498122707484935,0.1429478602422144,0.024878504737626688,0.41444114737883286,0.2022,0.5339366515837104,0.3978
ICEWS14,4,base_plus_fd,0.5627572666888958,0.14801336030971496,0.017740839077772536,0.4499494438827098,0.1978,0.5455911823647295,0.3992
ICEWS14,4,without_diversity,0.5499819798429395,0.14300471052733468,0.01903152496847246,0.41112214498510424,0.2014,0.5355163727959698,0.397
ICEWS14,4,without_fragility,0.5487916050162985,0.14267025294027516,0.026213872701801064,0.40559440559440557,0.2002,0.5317658829414708,0.3998
ICEWS14,4,nonredundant,0.5487045306257625,0.1424818619019597,0.01784258446158136,0.4022633744855967,0.1944,0.532435129740519,0.4008
ICEWS14,4,full_original,0.54973361036726,0.14282033252850165,0.015514159511220956,0.4183142559833507,0.1922,0.5325977933801405,0.3988
ICEWS14,4,base_plus_window_count,0.5741736443055505,0.1522481347295985,0.04197448289889952,0.4880083420229406,0.1918,0.5512820512820513,0.4056
ICEWS14,4,base_plus_softmax_entropy,0.5807960029880983,0.15416113562226855,0.034356914436886744,0.4938650306748466,0.1956,0.5582791395697849,0.3998
