,,,aurc,aurc,mrr,mrr,hits1,hits1,hits3,hits3,hits10,hits10,neural_mrr,neural_mrr,neural_hits1,neural_hits1,neural_hits3,neural_hits3,neural_hits10,neural_hits10,brier,brier,ece,ece,risk20,risk20,worst_flip1_20,worst_flip1_20,random_flip2_20,random_flip2_20,shifted_flip_20,shifted_flip_20,wide_flip_20,wide_flip_20,event_flip_20,event_flip_20,deployed_coverage20,deployed_coverage20,deployed_risk20,deployed_risk20,risk40,risk40,worst_flip1_40,worst_flip1_40,random_flip2_40,random_flip2_40,shifted_flip_40,shifted_flip_40,wide_flip_40,wide_flip_40,event_flip_40,event_flip_40,deployed_coverage40,deployed_coverage40,deployed_risk40,deployed_risk40,certified_coverage,certified_coverage
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,dataset,selector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TeRDy,ICEWS05-15,candidate_probability,0.23736924016689123,0.00706951963735696,0.6328483963352926,0.009173152926152414,0.5344418052256531,0.012460879442230514,0.6933227764581683,0.008200446066962894,0.8163763525996305,0.002863886832173569,0.6284962297960303,0.006953422786232515,0.5304169965690155,0.009176742491799289,0.6896278701504355,0.006287561430826837,0.8097123251517551,0.003156736266536203,0.18728302984437764,0.0038587921254412284,0.0701574935270897,0.00594041687986459,0.10133333333333323,0.0073711147958319964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25899999999999995,0.007830708780180743,0.12491740732256788,0.010376069059683937,0.18966666666666665,0.005008326400438907,0.0005,0.0008660254037844387,0.000125,0.00021650635094610967,0.0005,0.0008660254037844387,0.0006666666666666666,0.0011547005383792516,0.0006666666666666666,0.0011547005383792516,0.5137999999999999,0.0038626415831655436,0.24640334658996235,0.007083323415513681,,
TeRDy,ICEWS05-15,ensemble_probability,0.22793300693960403,0.0025999300886135907,0.6328483963352926,0.009173152926152414,0.5344418052256531,0.012460879442230514,0.6933227764581683,0.008200446066962894,0.8163763525996305,0.002863886832173569,0.6284962297960303,0.006953422786232515,0.5304169965690155,0.009176742491799289,0.6896278701504355,0.006287561430826837,0.8097123251517551,0.003156736266536203,0.18202160378545507,0.007506994641903267,0.08510875612501186,0.009167016997524093,0.0899999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2528,0.0,0.1131329113924051,0.0,0.17466666666666666,0.0015275252316519518,0.0018333333333333333,0.002362907813126304,0.00025,0.00028641098093474,0.0015000000000000002,0.0018027756377319948,0.0016666666666666668,0.0020816659994661326,0.0015000000000000002,0.0021794494717703367,0.5081333333333333,0.0023352373184181837,0.22539874672156787,0.0007136790801554224,,
TeRDy,ICEWS05-15,hybrid_margin,0.24253211586685305,0.011094528291708549,0.6328483963352926,0.009173152926152414,0.5344418052256531,0.012460879442230514,0.6933227764581683,0.008200446066962894,0.8163763525996305,0.002863886832173569,0.6284962297960303,0.006953422786232515,0.5304169965690155,0.009176742491799289,0.6896278701504355,0.006287561430826837,0.8097123251517551,0.003156736266536203,,,,,0.10333333333333324,0.010692676621563632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23326666666666665,0.002602562839459093,0.12028685211306196,0.013145019974944668,0.19366666666666657,0.007023769168568446,0.002,0.0034641016151377548,0.0005208333333333333,0.0009021097956087903,0.002,0.0034641016151377548,0.002,0.0034641016151377548,0.002,0.0034641016151377548,0.4767333333333334,0.01670249482362841,0.22986259869383996,0.003719913946433791,,
TeRDy,ICEWS05-15,hybrid_max,0.23825494575326314,0.008888405337523518,0.6328483963352926,0.009173152926152414,0.5344418052256531,0.012460879442230514,0.6933227764581683,0.008200446066962894,0.8163763525996305,0.002863886832173569,0.6284962297960303,0.006953422786232515,0.5304169965690155,0.009176742491799289,0.6896278701504355,0.006287561430826837,0.8097123251517551,0.003156736266536203,0.18779726955116396,0.002059692170311417,0.07045763379000651,0.010165940707783766,0.10133333333333323,0.010598742063723103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24339999999999998,0.0071358251099645055,0.1177936869972402,0.011600988060735826,0.18666666666666668,0.004907477288111821,0.0013333333333333333,0.002309401076758503,0.00047916666666666664,0.0008299410119600871,0.0013333333333333333,0.002309401076758503,0.0013333333333333333,0.002309401076758503,0.0013333333333333333,0.002309401076758503,0.49033333333333334,0.014505631090488049,0.23450911128225208,0.0017571461723909533,,
TeRDy,ICEWS05-15,max_probability,0.23785296544675658,0.007491760286392406,0.6328483963352926,0.009173152926152414,0.5344418052256531,0.012460879442230514,0.6933227764581683,0.008200446066962894,0.8163763525996305,0.002863886832173569,0.6284962297960303,0.006953422786232515,0.5304169965690155,0.009176742491799289,0.6896278701504355,0.006287561430826837,0.8097123251517551,0.003156736266536203,0.18682353091889,0.00383497304836122,0.061977763740030535,0.01071706538007229,0.10133333333333323,0.0073711147958319964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25899999999999995,0.007830708780180743,0.12491740732256788,0.010376069059683937,0.18966666666666665,0.005008326400438907,0.0005,0.0008660254037844387,0.000125,0.00021650635094610967,0.0005,0.0008660254037844387,0.0006666666666666666,0.0011547005383792516,0.0006666666666666666,0.0011547005383792516,0.5125333333333334,0.002532455988429658,0.2463744740234316,0.006796721159048527,,
TeRDy,ICEWS05-15,negative_entropy,0.24944540156583436,0.006844242677468304,0.6328483963352926,0.009173152926152414,0.5344418052256531,0.012460879442230514,0.6933227764581683,0.008200446066962894,0.8163763525996305,0.002863886832173569,0.6284962297960303,0.006953422786232515,0.5304169965690155,0.009176742491799289,0.6896278701504355,0.006287561430826837,0.8097123251517551,0.003156736266536203,,,,,0.11633333333333325,0.009504384952922218,0.0016666666666666668,0.0011547005383792516,0.00025,0.00043301270189221935,0.0016666666666666668,0.0011547005383792516,0.002,0.0017320508075688774,0.0016666666666666668,0.0011547005383792516,0.2976666666666667,0.007500222218930146,0.15691343977550545,0.006672445713872175,0.2105,0.008888194417315571,0.0105,0.00912414379544733,0.002,0.0019675095298371495,0.009833333333333333,0.008808140174482542,0.011333333333333334,0.01011599393699568,0.008666666666666666,0.008098353742170893,0.5865333333333332,0.011038719732529411,0.29283766206203904,0.005682471809316705,,
TeRDy,ICEWS05-15,neural_margin,0.24192794740151324,0.008273092940795949,0.6328483963352926,0.009173152926152414,0.5344418052256531,0.012460879442230514,0.6933227764581683,0.008200446066962894,0.8163763525996305,0.002863886832173569,0.6284962297960303,0.006953422786232515,0.5304169965690155,0.009176742491799289,0.6896278701504355,0.006287561430826837,0.8097123251517551,0.003156736266536203,,,,,0.10466666666666657,0.010692676621563623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24326666666666666,0.008994072121866347,0.12184378192113347,0.013344956471097492,0.19216666666666662,0.004804511768466522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48466666666666663,0.012762967262095946,0.23711563196021057,0.0019560899417274077,,
TeRDy,ICEWS14,Certificate calibration,0.1951718339788625,0.009257204670798007,0.6616269879601872,0.001049706570909029,0.5791971524619339,0.0025706940874035966,0.7116867708127348,0.0009061846341617051,0.8137894667457649,0.0012713269739625388,0.6626893397093675,0.0013690322317077108,0.5792630676949443,0.002222624124986781,0.714916617230242,0.0025503318333864326,0.8147781952409202,0.002542653947925118,0.1659747504679537,0.0030807068825197863,0.023803411059299933,0.012409815303796772,0.09099999999999993,0.03377869150810913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1858,0.09595644845449418,0.07830404005266506,0.04669375707101985,0.13233333333333333,0.0030550504633038967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3888,0.018429324458590444,0.1296837740369345,0.004570445604258344,,
TeRDy,ICEWS14,Certified 1-window,,,0.6616269879601872,0.001049706570909029,0.5791971524619339,0.0025706940874035966,0.7116867708127348,0.0009061846341617051,0.8137894667457649,0.0012713269739625388,0.6626893397093675,0.0013690322317077108,0.5792630676949443,0.002222624124986781,0.714916617230242,0.0025503318333864326,0.8147781952409202,0.002542653947925118,,,,,0.08933333333333326,0.03265475973473603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11146666666666667,0.020566315502134395,0.0516409603165088,0.006570157582597348,0.147,0.026962937525425515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3444666666666667,0.07451639640598125,0.13553283299196522,0.014217605747734317,0.9675333333333334,0.020842584612598646
TeRDy,ICEWS14,Certified 2-window,,,0.6616269879601872,0.001049706570909029,0.5791971524619339,0.0025706940874035966,0.7116867708127348,0.0009061846341617051,0.8137894667457649,0.0012713269739625388,0.6626893397093675,0.0013690322317077108,0.5792630676949443,0.002222624124986781,0.714916617230242,0.0025503318333864326,0.8147781952409202,0.002542653947925118,,,,,0.08933333333333326,0.03265475973473603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11146666666666667,0.020566315502134395,0.0516409603165088,0.006570157582597348,0.147,0.026962937525425515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3444666666666667,0.07451639640598125,0.13553283299196522,0.014217605747734317,0.9592,0.02598153190248795
