selector,aurc,mrr,hits1,hits3,hits10,neural_mrr,neural_hits1,neural_hits3,neural_hits10,brier,ece,risk20,worst_flip1_20,random_flip2_20,shifted_flip_20,wide_flip_20,event_flip_20,deployed_coverage20,deployed_risk20,risk40,worst_flip1_40,random_flip2_40,shifted_flip_40,wide_flip_40,event_flip_40,deployed_coverage40,deployed_risk40,certified_coverage,seed,model,dataset
Certified 1-window,,0.662828826823945,0.5817678465493376,0.7118845165117659,0.8147122800079099,0.6641440822679916,0.5811746094522444,0.717025904686573,0.8176784654933755,,,0.127,0.0,0.0,0.0,0.0,0.0,0.0878,0.0592255125284738,0.178,0.0,0.0,0.0,0.0,0.0,0.2594,0.1518889745566692,0.9916,0,TeRDy,ICEWS14
Certified 2-window,,0.662828826823945,0.5817678465493376,0.7118845165117659,0.8147122800079099,0.6641440822679916,0.5811746094522444,0.717025904686573,0.8176784654933755,,,0.127,0.0,0.0,0.0,0.0,0.0,0.0878,0.0592255125284738,0.178,0.0,0.0,0.0,0.0,0.0,0.2594,0.1518889745566692,0.9892,0,TeRDy,ICEWS14
max_probability,0.1878788477430701,0.6608897916257145,0.5791971524619339,0.712477753608859,0.8123393316195373,0.6624977317337172,0.5797903895590271,0.7156416847933558,0.8129325687166304,0.1700174299563957,0.0721181312073451,0.0719999999999999,0.0,0.0,0.0,0.0,0.0,0.121,0.0462809917355372,0.129,0.0,0.0,0.0,0.0,0.0,0.393,0.1272264631043257,,1,TeRDy,ICEWS14
candidate_probability,0.1877310649403301,0.6608897916257145,0.5791971524619339,0.712477753608859,0.8123393316195373,0.6624977317337172,0.5797903895590271,0.7156416847933558,0.8129325687166304,0.1699628549272224,0.0734415848129902,0.0719999999999999,0.0,0.0,0.0,0.0,0.0,0.121,0.0462809917355372,0.129,0.0,0.0,0.0,0.0,0.0,0.393,0.1272264631043257,,1,TeRDy,ICEWS14
neural_margin,0.1897230362739444,0.6608897916257145,0.5791971524619339,0.712477753608859,0.8123393316195373,0.6624977317337172,0.5797903895590271,0.7156416847933558,0.8129325687166304,,,0.0689999999999999,0.0,0.0,0.0,0.0,0.0,0.119,0.042016806722689,0.1324999999999999,0.0,0.0,0.0,0.0,0.0,0.3826,0.12807109252483,,1,TeRDy,ICEWS14
negative_entropy,0.1988684645230497,0.6608897916257145,0.5791971524619339,0.712477753608859,0.8123393316195373,0.6624977317337172,0.5797903895590271,0.7156416847933558,0.8129325687166304,,,0.0849999999999999,0.0,0.0,0.0,0.0,0.0,0.1474,0.073270013568521,0.1494999999999999,0.0015,0.000625,0.002,0.002,0.0025,0.4924,0.1815597075548334,,1,TeRDy,ICEWS14
hybrid_max,0.1898526043962724,0.6608897916257145,0.5791971524619339,0.712477753608859,0.8123393316195373,0.6624977317337172,0.5797903895590271,0.7156416847933558,0.8129325687166304,0.1728870234935838,0.0837183014445445,0.0779999999999999,0.0,0.0,0.0,0.0,0.0,0.1226,0.0570962479608483,0.1364999999999999,0.0,0.0,0.0,0.0,0.0,0.3802,0.1283534981588637,,1,TeRDy,ICEWS14
hybrid_margin,0.1917902529780358,0.6608897916257145,0.5791971524619339,0.712477753608859,0.8123393316195373,0.6624977317337172,0.5797903895590271,0.7156416847933558,0.8129325687166304,,,0.0779999999999999,0.0,0.0,0.0,0.0,0.0,0.1184,0.054054054054054,0.1354999999999999,0.0,0.0,0.0,0.0,0.0,0.3746,0.1286705819540843,,1,TeRDy,ICEWS14
Probability calibration,0.1898526043962724,0.6608897916257145,0.5791971524619339,0.712477753608859,0.8123393316195373,0.6624977317337172,0.5797903895590271,0.7156416847933558,0.8129325687166304,0.1644978777548562,0.0199623742058765,0.0779999999999999,0.0,0.0,0.0,0.0,0.0,0.1226,0.0570962479608483,0.1364999999999999,0.0,0.0,0.0,0.0,0.0,0.3802,0.1283534981588637,,1,TeRDy,ICEWS14
Score calibration,0.1878326231010813,0.6608897916257145,0.5791971524619339,0.712477753608859,0.8123393316195373,0.6624977317337172,0.5797903895590271,0.7156416847933558,0.8129325687166304,0.1638317077540518,0.0262492360636577,0.0759999999999999,0.0,0.0,0.0,0.0,0.0,0.1246,0.0481540930979133,0.1284999999999999,0.0,0.0,0.0,0.0,0.0,0.379,0.1240105540897097,,1,TeRDy,ICEWS14
Evidence calibration,0.1880023781388731,0.6608897916257145,0.5791971524619339,0.712477753608859,0.8123393316195373,0.6624977317337172,0.5797903895590271,0.7156416847933558,0.8129325687166304,0.1635031198812778,0.0183436772097374,0.0719999999999999,0.0,0.0,0.0,0.0,0.0,0.125,0.048,0.129,0.0,0.0,0.0,0.0,0.0,0.3982,0.1285786037167252,,1,TeRDy,ICEWS14
Certificate calibration,0.1879951155175489,0.6608897916257145,0.5791971524619339,0.712477753608859,0.8123393316195373,0.6624977317337172,0.5797903895590271,0.7156416847933558,0.8129325687166304,0.1634507565113668,0.01388248358875,0.0719999999999999,0.0,0.0,0.0,0.0,0.0,0.13,0.0492307692307691,0.129,0.0,0.0,0.0,0.0,0.0,0.3978,0.1287078934137757,,1,TeRDy,ICEWS14
