selector,aurc,mrr,hits1,hits3,hits10,neural_mrr,neural_hits1,neural_hits3,neural_hits10,brier,ece,risk20,worst_flip1_20,random_flip2_20,shifted_flip_20,wide_flip_20,event_flip_20,deployed_coverage20,deployed_risk20,risk40,worst_flip1_40,random_flip2_40,shifted_flip_40,wide_flip_40,event_flip_40,deployed_coverage40,deployed_risk40,certified_coverage,seed,model,dataset
Ensemble calibration,0.4260037145172214,0.4287596571054025,0.3351789598576231,0.4753806604706347,0.6149891239865533,0.3635697028492188,0.2633972711093533,0.4089381055962033,0.5687166304132885,0.1618017493264058,0.0442951226330644,0.285,0.185,0.15075,0.2,0.196,0.17,0.2352,0.2763605442176871,0.3964999999999999,0.328,0.27525,0.34,0.345,0.2925,0.4262,0.4134209291412483,,0,TemporalComplEx,ICEWS14
ensemble_probability,0.5037858678221886,0.4287596571054025,0.3351789598576231,0.4753806604706347,0.6149891239865533,0.3635697028492188,0.2633972711093533,0.4089381055962033,0.5687166304132885,0.2886366776259264,0.2817360874230801,0.4419999999999999,0.216,0.09375,0.227,0.251,0.162,0.4384,0.4844890510948905,0.4765,0.307,0.1460625,0.3105,0.332,0.2475,0.6678,0.5540581012279125,,0,TemporalComplEx,ICEWS14
Temperature scaling,0.5260267593693622,0.4287596571054025,0.3351789598576231,0.4753806604706347,0.6149891239865533,0.3635697028492188,0.2633972711093533,0.4089381055962033,0.5687166304132885,0.2678895295028847,0.24293946781531,0.4499999999999999,0.19,0.069,0.198,0.219,0.151,0.3616,0.4745575221238938,0.4865,0.2295,0.103875,0.234,0.2535,0.182,0.5496,0.5320232896652111,,0,TemporalComplEx,ICEWS14
Certified 1-window,,0.4287596571054025,0.3351789598576231,0.4753806604706347,0.6149891239865533,0.3635697028492188,0.2633972711093533,0.4089381055962033,0.5687166304132885,,,0.305,0.0,0.0525,0.032,0.023,0.009,0.2612,0.3866768759571209,0.481,0.0,0.050375,0.0535,0.048,0.0175,0.2934,0.4130879345603272,0.578,0,TemporalComplEx,ICEWS14
Certified 2-window,,0.4287596571054025,0.3351789598576231,0.4753806604706347,0.6149891239865533,0.3635697028492188,0.2633972711093533,0.4089381055962033,0.5687166304132885,,,0.3329999999999999,0.0,0.0,0.007,0.0,0.017,0.2038,0.338567222767419,0.5275000000000001,0.0,0.0,0.006,0.0,0.0095,0.2202,0.3596730245231607,0.497,0,TemporalComplEx,ICEWS14
max_probability,0.6136216644275403,0.4324822521095142,0.3357721969547162,0.4813130314415661,0.6244809175400435,0.3679234199876032,0.265967965196757,0.4225825588293455,0.5693098675103816,0.2929658045067319,0.2549497467106328,0.609,0.272,0.1375,0.274,0.29,0.203,0.5704,0.626577840112202,0.615,0.396,0.2014375,0.4045,0.421,0.3235,0.7266,0.6245527112579136,,1,TemporalComplEx,ICEWS14
candidate_probability,0.5710422741008452,0.4324822521095142,0.3357721969547162,0.4813130314415661,0.6244809175400435,0.3679234199876032,0.265967965196757,0.4225825588293455,0.5693098675103816,0.3013785969064909,0.2807658778995662,0.563,0.16,0.064875,0.171,0.185,0.104,0.4376,0.5301645338208409,0.5285,0.2365,0.1025,0.241,0.2555,0.179,0.6326,0.5697122984508378,,1,TemporalComplEx,ICEWS14
neural_margin,0.599235590141384,0.4324822521095142,0.3357721969547162,0.4813130314415661,0.6244809175400435,0.3679234199876032,0.265967965196757,0.4225825588293455,0.5693098675103816,,,0.594,0.271,0.135875,0.268,0.287,0.206,0.4756,0.6000841042893188,0.5985,0.3795,0.2021875,0.3805,0.3995,0.3065,0.6816,0.6097417840375587,,1,TemporalComplEx,ICEWS14
negative_entropy,0.6415118053986819,0.4324822521095142,0.3357721969547162,0.4813130314415661,0.6244809175400435,0.3679234199876032,0.265967965196757,0.4225825588293455,0.5693098675103816,,,0.635,0.319,0.1535,0.328,0.348,0.244,0.6072,0.6508563899868247,0.6505000000000001,0.426,0.211875,0.4365,0.4535,0.348,0.7402,0.6490137800594433,,1,TemporalComplEx,ICEWS14
hybrid_max,0.5082226737523919,0.4324822521095142,0.3357721969547162,0.4813130314415661,0.6244809175400435,0.3679234199876032,0.265967965196757,0.4225825588293455,0.5693098675103816,0.2157559583788828,0.0845723370674714,0.4399999999999999,0.46,0.512875,0.464,0.477,0.423,0.203,0.445320197044335,0.4985,0.431,0.3985625,0.4375,0.451,0.385,0.5822,0.5685331501202335,,1,TemporalComplEx,ICEWS14
hybrid_margin,0.5082916544894766,0.4324822521095142,0.3357721969547162,0.4813130314415661,0.6244809175400435,0.3679234199876032,0.265967965196757,0.4225825588293455,0.5693098675103816,,,0.4429999999999999,0.472,0.523,0.476,0.489,0.433,0.1662,0.4199759326113117,0.502,0.404,0.3785625,0.411,0.4275,0.355,0.6066,0.5750082426640291,,1,TemporalComplEx,ICEWS14
Probability calibration,0.5082226737523919,0.4324822521095142,0.3357721969547162,0.4813130314415661,0.6244809175400435,0.3679234199876032,0.265967965196757,0.4225825588293455,0.5693098675103816,0.2051824296160599,0.0289970846528995,0.4399999999999999,0.46,0.512875,0.464,0.477,0.423,0.203,0.445320197044335,0.4985,0.431,0.3985625,0.4375,0.451,0.385,0.5822,0.5685331501202335,,1,TemporalComplEx,ICEWS14
Score calibration,0.5067405155024001,0.4324822521095142,0.3357721969547162,0.4813130314415661,0.6244809175400435,0.3679234199876032,0.265967965196757,0.4225825588293455,0.5693098675103816,0.2030210497746032,0.0201459100731673,0.4389999999999999,0.468,0.51725,0.473,0.485,0.43,0.1654,0.4135429262394196,0.5005,0.428,0.3945,0.436,0.45,0.3815,0.553,0.555877034358047,,1,TemporalComplEx,ICEWS14
Evidence calibration,0.4671469146021707,0.4324822521095142,0.3357721969547162,0.4813130314415661,0.6244809175400435,0.3679234199876032,0.265967965196757,0.4225825588293455,0.5693098675103816,0.1868252640540769,0.0300092794298161,0.31,0.081,0.08,0.109,0.113,0.065,0.3048,0.3937007874015747,0.4685,0.3785,0.31275,0.3885,0.4005,0.33,0.5858,0.5609423011266643,,1,TemporalComplEx,ICEWS14
Certificate calibration,0.4647384043589046,0.4324822521095142,0.3357721969547162,0.4813130314415661,0.6244809175400435,0.3679234199876032,0.265967965196757,0.4225825588293455,0.5693098675103816,0.1857041753515341,0.0241638259938148,0.3159999999999999,0.012,0.067125,0.048,0.046,0.017,0.295,0.384406779661017,0.4665,0.329,0.3000625,0.3465,0.357,0.297,0.5756,0.5559416261292565,,1,TemporalComplEx,ICEWS14
Ensemble calibration,0.4279209897338829,0.4324822521095142,0.3357721969547162,0.4813130314415661,0.6244809175400435,0.3679234199876032,0.265967965196757,0.4225825588293455,0.5693098675103816,0.1625881814377092,0.0388886241389428,0.289,0.213,0.1795,0.227,0.228,0.198,0.2458,0.2896663954434499,0.3924999999999999,0.334,0.2896875,0.347,0.3545,0.305,0.415,0.4028915662650603,,1,TemporalComplEx,ICEWS14
ensemble_probability,0.5209287810161559,0.4324822521095142,0.3357721969547162,0.4813130314415661,0.6244809175400435,0.3679234199876032,0.265967965196757,0.4225825588293455,0.5693098675103816,0.2883876420174712,0.27689783638402,0.493,0.165,0.07825,0.171,0.188,0.107,0.4618,0.5097444781290602,0.503,0.254,0.1283125,0.2635,0.282,0.193,0.6748,0.560462359217546,,1,TemporalComplEx,ICEWS14
Temperature scaling,0.5580022044594065,0.4324822521095142,0.3357721969547162,0.4813130314415661,0.6244809175400435,0.3679234199876032,0.265967965196757,0.4225825588293455,0.5693098675103816,0.2802914443616769,0.2549142923663172,0.536,0.137,0.0575,0.144,0.159,0.086,0.3922,0.5211626721060683,0.5245,0.2,0.086875,0.2075,0.218,0.1525,0.5986,0.5603073838957567,,1,TemporalComplEx,ICEWS14
Certified 1-window,,0.4324822521095142,0.3357721969547162,0.4813130314415661,0.6244809175400435,0.3679234199876032,0.265967965196757,0.4225825588293455,0.5693098675103816,,,0.3189999999999999,0.0,0.064625,0.039,0.034,0.008,0.2464,0.3612012987012987,0.4815,0.0,0.0480625,0.055,0.049,0.0195,0.327,0.4581039755351682,0.6098,1,TemporalComplEx,ICEWS14
Certified 2-window,,0.4324822521095142,0.3357721969547162,0.4813130314415661,0.6244809175400435,0.3679234199876032,0.265967965196757,0.4225825588293455,0.5693098675103816,,,0.3309999999999999,0.0,0.0,0.003,0.0,0.01,0.1972,0.3245436105476673,0.5245,0.0,0.0,0.006,0.0,0.0115,0.2516,0.4181240063593004,0.5292,1,TemporalComplEx,ICEWS14
max_probability,0.5971957374984814,0.4319350201111693,0.3365631797508404,0.4836859798299387,0.6185485465691121,0.3719952259838862,0.270516116274471,0.4233735416254696,0.5748467470832509,0.2866092698751317,0.2449566598043767,0.5720000000000001,0.388,0.17625,0.41,0.426,0.319,0.588,0.6214285714285714,0.6125,0.449,0.21075,0.4685,0.4835,0.38,0.7488,0.6215277777777778,,2,TemporalComplEx,ICEWS14
candidate_probability,0.5251646259563634,0.4319350201111693,0.3365631797508404,0.4836859798299387,0.6185485465691121,0.3719952259838862,0.270516116274471,0.4233735416254696,0.5748467470832509,0.2937644844245076,0.2792091021416367,0.4619999999999999,0.194,0.079875,0.22,0.222,0.161,0.431,0.4928074245939675,0.487,0.2535,0.1215,0.2735,0.2815,0.2095,0.611,0.5440261865793781,,2,TemporalComplEx,ICEWS14
neural_margin,0.583436498036016,0.4319350201111693,0.3365631797508404,0.4836859798299387,0.6185485465691121,0.3719952259838862,0.270516116274471,0.4233735416254696,0.5748467470832509,,,0.5489999999999999,0.368,0.175875,0.388,0.401,0.307,0.4866,0.5926839293053843,0.5945,0.448,0.2235625,0.4615,0.4795,0.386,0.7056,0.610827664399093,,2,TemporalComplEx,ICEWS14
negative_entropy,0.624034884152547,0.4319350201111693,0.3365631797508404,0.4836859798299387,0.6185485465691121,0.3719952259838862,0.270516116274471,0.4233735416254696,0.5748467470832509,,,0.612,0.418,0.17525,0.43,0.455,0.332,0.6102,0.6453621763356276,0.641,0.483,0.21975,0.499,0.518,0.404,0.7558,0.6401164329187616,,2,TemporalComplEx,ICEWS14
hybrid_max,0.5170106855792727,0.4319350201111693,0.3365631797508404,0.4836859798299387,0.6185485465691121,0.3719952259838862,0.270516116274471,0.4233735416254696,0.5748467470832509,0.2273073662483163,0.1258561262583067,0.472,0.507,0.55475,0.516,0.524,0.465,0.173,0.4797687861271676,0.502,0.474,0.42375,0.4885,0.494,0.423,0.5486,0.5515858549033905,,2,TemporalComplEx,ICEWS14
hybrid_margin,0.5137474076847844,0.4319350201111693,0.3365631797508404,0.4836859798299387,0.6185485465691121,0.3719952259838862,0.270516116274471,0.4233735416254696,0.5748467470832509,,,0.473,0.51,0.55725,0.521,0.529,0.468,0.1524,0.4645669291338582,0.4965,0.433,0.3925,0.444,0.459,0.3745,0.614,0.5729641693811075,,2,TemporalComplEx,ICEWS14
Probability calibration,0.5170106855792727,0.4319350201111693,0.3365631797508404,0.4836859798299387,0.6185485465691121,0.3719952259838862,0.270516116274471,0.4233735416254696,0.5748467470832509,0.2069523149022554,0.0365097797348237,0.472,0.507,0.55475,0.516,0.524,0.465,0.173,0.4797687861271676,0.502,0.474,0.42375,0.4885,0.494,0.423,0.5486,0.5515858549033905,,2,TemporalComplEx,ICEWS14
Score calibration,0.4935881157676718,0.4319350201111693,0.3365631797508404,0.4836859798299387,0.6185485465691121,0.3719952259838862,0.270516116274471,0.4233735416254696,0.5748467470832509,0.199028831054726,0.0270538501670596,0.386,0.348,0.376375,0.365,0.364,0.32,0.204,0.3911764705882353,0.4865,0.4285,0.3874375,0.445,0.4525,0.3815,0.536,0.5421641791044776,,2,TemporalComplEx,ICEWS14
Evidence calibration,0.4614821583676545,0.4319350201111693,0.3365631797508404,0.4836859798299387,0.6185485465691121,0.3719952259838862,0.270516116274471,0.4233735416254696,0.5748467470832509,0.1849880486462742,0.029348495919745,0.294,0.054,0.067125,0.087,0.081,0.035,0.2948,0.3778833107191316,0.4639999999999999,0.3645,0.303875,0.3865,0.3915,0.3185,0.581,0.5490533562822719,,2,TemporalComplEx,ICEWS14
Certificate calibration,0.459907940975074,0.4319350201111693,0.3365631797508404,0.4836859798299387,0.6185485465691121,0.3719952259838862,0.270516116274471,0.4233735416254696,0.5748467470832509,0.1845211817490477,0.029409931179797,0.306,0.003,0.053,0.042,0.032,0.004,0.3176,0.3973551637279596,0.4595,0.3025,0.2739375,0.336,0.3365,0.2855,0.5586,0.5388471177944862,,2,TemporalComplEx,ICEWS14
Ensemble calibration,0.424867950323444,0.4319350201111693,0.3365631797508404,0.4836859798299387,0.6185485465691121,0.3719952259838862,0.270516116274471,0.4233735416254696,0.5748467470832509,0.1620043329548165,0.0405161444639598,0.278,0.164,0.126,0.182,0.176,0.146,0.237,0.2717299578059071,0.3944999999999999,0.303,0.24675,0.325,0.323,0.2725,0.427,0.4098360655737705,,2,TemporalComplEx,ICEWS14
ensemble_probability,0.5013674121031517,0.4319350201111693,0.3365631797508404,0.4836859798299387,0.6185485465691121,0.3719952259838862,0.270516116274471,0.4233735416254696,0.5748467470832509,0.2891966980275758,0.2823080642265618,0.4439999999999999,0.213,0.093375,0.231,0.244,0.157,0.446,0.4811659192825112,0.4735,0.285,0.1356875,0.306,0.3185,0.232,0.6576,0.5468369829683699,,2,TemporalComplEx,ICEWS14
Temperature scaling,0.5126661910399725,0.4319350201111693,0.3365631797508404,0.4836859798299387,0.6185485465691121,0.3719952259838862,0.270516116274471,0.4233735416254696,0.5748467470832509,0.2651188624649155,0.2420566480222133,0.4379999999999999,0.164,0.064125,0.19,0.189,0.138,0.3838,0.4674309536216779,0.473,0.219,0.1058125,0.24,0.244,0.1845,0.5724,0.5276030747728861,,2,TemporalComplEx,ICEWS14
Certified 1-window,,0.4319350201111693,0.3365631797508404,0.4836859798299387,0.6185485465691121,0.3719952259838862,0.270516116274471,0.4233735416254696,0.5748467470832509,,,0.305,0.0,0.053,0.04,0.029,0.004,0.2666,0.3818454613653413,0.471,0.0,0.0494375,0.06,0.0555,0.0225,0.311,0.4244372990353697,0.587,2,TemporalComplEx,ICEWS14
Certified 2-window,,0.4319350201111693,0.3365631797508404,0.4836859798299387,0.6185485465691121,0.3719952259838862,0.270516116274471,0.4233735416254696,0.5748467470832509,,,0.3269999999999999,0.0,0.0,0.006,0.0,0.016,0.2082,0.3439000960614793,0.528,0.0,0.0,0.0055,0.0,0.0105,0.2316,0.3687392055267703,0.4998,2,TemporalComplEx,ICEWS14
