selector,aurc,mrr,hits1,hits3,hits10,neural_mrr,neural_hits1,neural_hits3,neural_hits10,brier,ece,risk20,worst_flip1_20,random_flip2_20,shifted_flip_20,wide_flip_20,event_flip_20,deployed_coverage20,deployed_risk20,risk40,worst_flip1_40,random_flip2_40,shifted_flip_40,wide_flip_40,event_flip_40,deployed_coverage40,deployed_risk40,certified_coverage,seed,model,dataset
candidate_probability,0.4790041567971468,0.507605884127431,0.3889548693586698,0.5698733174980206,0.7496041171813144,0.453704406358311,0.3256136183689628,0.5146476642913698,0.7288202692003167,0.2886395268100271,0.2492547082587948,0.4379999999999999,0.12,0.024875,0.124,0.126,0.071,0.4018,0.4738675958188153,0.474,0.2135,0.036875,0.211,0.2215,0.1605,0.589,0.4947368421052631,,2,TemporalComplEx,ICEWS05-15
neural_margin,0.513369177699188,0.507605884127431,0.3889548693586698,0.5698733174980206,0.7496041171813144,0.453704406358311,0.3256136183689628,0.5146476642913698,0.7288202692003167,,,0.4569999999999999,0.199,0.059875,0.205,0.205,0.151,0.3966,0.518406454866364,0.519,0.3235,0.0921875,0.323,0.336,0.2645,0.6322,0.5627965833596963,,2,TemporalComplEx,ICEWS05-15
negative_entropy,0.5488556805242059,0.507605884127431,0.3889548693586698,0.5698733174980206,0.7496041171813144,0.453704406358311,0.3256136183689628,0.5146476642913698,0.7288202692003167,,,0.508,0.246,0.05975,0.248,0.255,0.189,0.4918,0.5815372102480683,0.5635,0.359,0.08575,0.3615,0.3735,0.297,0.7218,0.6051537822111388,,2,TemporalComplEx,ICEWS05-15
hybrid_max,0.4424999618239741,0.507605884127431,0.3889548693586698,0.5698733174980206,0.7496041171813144,0.453704406358311,0.3256136183689628,0.5146476642913698,0.7288202692003167,0.2192254201713053,0.0619115465638367,0.294,0.127,0.0465,0.126,0.129,0.115,0.2332,0.3224699828473413,0.4605,0.375,0.2509375,0.3735,0.3795,0.3515,0.356,0.4353932584269663,,2,TemporalComplEx,ICEWS05-15
hybrid_margin,0.4430037124045209,0.507605884127431,0.3889548693586698,0.5698733174980206,0.7496041171813144,0.453704406358311,0.3256136183689628,0.5146476642913698,0.7288202692003167,,,0.279,0.178,0.11425,0.178,0.181,0.171,0.1828,0.2516411378555798,0.4609999999999999,0.3785,0.245,0.375,0.3815,0.3545,0.3696,0.4491341991341991,,2,TemporalComplEx,ICEWS05-15
Probability calibration,0.4424999618239741,0.507605884127431,0.3889548693586698,0.5698733174980206,0.7496041171813144,0.453704406358311,0.3256136183689628,0.5146476642913698,0.7288202692003167,0.2145106391472947,0.062155195607144,0.294,0.127,0.0465,0.126,0.129,0.115,0.2332,0.3224699828473413,0.4605,0.375,0.2509375,0.3735,0.3795,0.3515,0.356,0.4353932584269663,,2,TemporalComplEx,ICEWS05-15
Score calibration,0.430009695969386,0.507605884127431,0.3889548693586698,0.5698733174980206,0.7496041171813144,0.453704406358311,0.3256136183689628,0.5146476642913698,0.7288202692003167,0.208516845772608,0.0524782691658869,0.265,0.166,0.09825,0.166,0.168,0.158,0.2046,0.2697947214076246,0.4275,0.3355,0.2185625,0.3345,0.34,0.3145,0.377,0.4169761273209549,,2,TemporalComplEx,ICEWS05-15
Evidence calibration,0.3971137671998805,0.507605884127431,0.3889548693586698,0.5698733174980206,0.7496041171813144,0.453704406358311,0.3256136183689628,0.5146476642913698,0.7288202692003167,0.1883912910355779,0.0349757993750391,0.2309999999999999,0.023,0.01375,0.033,0.033,0.018,0.2922,0.2902121834360027,0.357,0.204,0.0975,0.207,0.215,0.1855,0.474,0.4164556962025316,,2,TemporalComplEx,ICEWS05-15
Certificate calibration,0.3906586765234369,0.507605884127431,0.3889548693586698,0.5698733174980206,0.7496041171813144,0.453704406358311,0.3256136183689628,0.5146476642913698,0.7288202692003167,0.1854920957608576,0.0180262979642555,0.2169999999999999,0.0,0.01,0.005,0.004,0.0,0.289,0.2823529411764706,0.356,0.1125,0.041125,0.123,0.13,0.1065,0.5086,0.429020841525757,,2,TemporalComplEx,ICEWS05-15
Ensemble calibration,0.3857416274984056,0.507605884127431,0.3889548693586698,0.5698733174980206,0.7496041171813144,0.453704406358311,0.3256136183689628,0.5146476642913698,0.7288202692003167,0.1805158031253627,0.0236815601345126,0.2129999999999999,0.11,0.043,0.107,0.112,0.1,0.2542,0.2478363493312352,0.3345,0.2125,0.0939375,0.211,0.2165,0.195,0.4282,0.3554413825315273,,2,TemporalComplEx,ICEWS05-15
ensemble_probability,0.4133673662263163,0.507605884127431,0.3889548693586698,0.5698733174980206,0.7496041171813144,0.453704406358311,0.3256136183689628,0.5146476642913698,0.7288202692003167,0.2292299932687081,0.1762043542814524,0.311,0.111,0.024375,0.106,0.114,0.091,0.3404,0.3507638072855464,0.3844999999999999,0.197,0.0523125,0.1905,0.2035,0.161,0.5802,0.4522578421234057,,2,TemporalComplEx,ICEWS05-15
Temperature scaling,0.4711508843775404,0.507605884127431,0.3889548693586698,0.5698733174980206,0.7496041171813144,0.453704406358311,0.3256136183689628,0.5146476642913698,0.7288202692003167,0.2742944196469618,0.2271472140045062,0.429,0.117,0.025625,0.122,0.122,0.071,0.3884,0.4654994850669413,0.4645,0.203,0.035375,0.2015,0.211,0.1525,0.561,0.485204991087344,,2,TemporalComplEx,ICEWS05-15
Certified 1-window,,0.507605884127431,0.3889548693586698,0.5698733174980206,0.7496041171813144,0.453704406358311,0.3256136183689628,0.5146476642913698,0.7288202692003167,,,0.2169999999999999,0.0,0.01,0.005,0.004,0.0,0.2866,0.2819260293091417,0.3764999999999999,0.0,0.023375,0.026,0.0305,0.013,0.3828,0.3610240334378265,0.5668,2,TemporalComplEx,ICEWS05-15
Certified 2-window,,0.507605884127431,0.3889548693586698,0.5698733174980206,0.7496041171813144,0.453704406358311,0.3256136183689628,0.5146476642913698,0.7288202692003167,,,0.2179999999999999,0.0,0.0,0.0,0.0,0.0,0.2504,0.2571884984025558,0.401,0.0,0.0,0.0025,0.0,0.006,0.305,0.3180327868852459,0.4632,2,TemporalComplEx,ICEWS05-15
